completed,round_id,year,week,type,route,route_length,route_elevation,route_link,segment,segment_length,segment_elevation,segment_link
TRUE,1,2025,46,flat,Tempus Fugit,19.6,16,https://zwiftinsider.com/route/tempus-fugit/,Fuego Flats Reverse,7.1,10,https://zwiftinsider.com/segment/fuego-flats-reverse/
TRUE,2,2025,47,rolling,Triple Twist,24.3,180,https://zwiftinsider.com/route/triple-twist/,Jarvis KOM Reverse,1.3,41,https://zwiftinsider.com/segment/jarvis-kom-reverse/
TRUE,3,2025,48,flat,The Fan Flats,19.5,48,https://zwiftinsider.com/route/the-fan-flats/,Monument Ave,0.2,0,https://zwiftinsider.com/segment/monument-ave-sprint/
TRUE,4,2025,49,mountain,2018 UCI Worlds Course Short lap,23.8,494,https://zwiftinsider.com/route/2018-uci-worlds-course-short-lap/,Innsbruck KOM,7.4,400,https://zwiftinsider.com/segment/innsbruck-kom/
TRUE,5,2025,50,flat,Tempus Fugit,19.6,16,https://zwiftinsider.com/route/tempus-fugit/,Fuego Flats Reverse,7.1,10,https://zwiftinsider.com/segment/fuego-flats-reverse/
TRUE,6,2025,51,rolling,Triple Twist,24.3,180,https://zwiftinsider.com/route/triple-twist/,Jarvis KOM Reverse,1.3,41,https://zwiftinsider.com/segment/jarvis-kom-reverse/
TRUE,7,2026,2,flat,The Fan Flats,19.5,48,https://zwiftinsider.com/route/the-fan-flats/,Monument Ave,0.2,0,https://zwiftinsider.com/segment/monument-ave-sprint/
FALSE,8,2026,3,flat,London Classique,16.6,64,https://zwiftinsider.com/route/classique/,Mall Sprint,0.2,0,https://zwiftinsider.com/segment/mall-sprint/
FALSE,9,2026,4,rolling,Neokyo All Nighter,24.5,168,https://zwiftinsider.com/route/neokyo-all-nighter/,Rooftop KOM,1.9,57,https://zwiftinsider.com/segment/rooftop-kom/
FALSE,10,2026,5,flat,Tick Tock,19.1,53,https://zwiftinsider.com/route/tick-tock/,Fuego Flats,0.5,1,https://zwiftinsider.com/segment/fuego-flats-sprint/
FALSE,11,2026,6,mountain,Everything Bagel,34.9,525,https://zwiftinsider.com/route/everything-bagel/,New York KOM,1.4,89,https://zwiftinsider.com/segment/new-york-kom/
FALSE,12,2026,7,flat,London Classique,16.6,64,https://zwiftinsider.com/route/classique/,Mall Sprint,0.2,0,https://zwiftinsider.com/segment/mall-sprint/
FALSE,13,2026,8,rolling,Neokyo All Nighter,24.5,168,https://zwiftinsider.com/route/neokyo-all-nighter/,Rooftop KOM,1.9,57,https://zwiftinsider.com/segment/rooftop-kom/
FALSE,14,2026,9,flat,Tick Tock,19.1,53,https://zwiftinsider.com/route/tick-tock/,Fuego Flats,0.5,1,https://zwiftinsider.com/segment/fuego-flats-sprint/
